"simulation_id","seed","dgp","cv_method","cv_mse","test_mse","estimation_error","squared_estimation_error","absolute_estimation_error","runtime_seconds","n_train","n_test","n_validation_predictions","k","h","success","error_message"
21,20281816,"AR(1)","kfold",1.12620750957701,1.10308977663083,0.0231177329461842,0.000534429576571092,0.0231177329461842,0.00956392288208008,154,66,154,5,NA,TRUE,""
21,20281816,"AR(1)","blocked",1.11728699343859,1.10308977663083,0.0141972168077644,0.000201560965086669,0.0141972168077644,0.0125851631164551,154,66,154,5,NA,TRUE,""
21,20281816,"AR(1)","hblock",1.13654082413571,1.10308977663083,0.0334510475048817,0.00111897257917385,0.0334510475048817,0.0121707916259766,154,66,154,5,5,TRUE,""
21,20281816,"AR(1)","rolling_origin",1.17725470334164,1.10308977663083,0.0741649267108166,0.0055004363540208,0.0741649267108166,0.0200350284576416,154,66,77,5,NA,TRUE,""
22,20282816,"AR(1)","kfold",0.980619751722952,1.29403866051409,-0.313418908791134,0.098231412387825,0.313418908791134,0.0106189250946045,154,66,154,5,NA,TRUE,""
22,20282816,"AR(1)","blocked",1.00796622881088,1.29403866051409,-0.286072431703207,0.0818374361805858,0.286072431703207,0.0133309364318848,154,66,154,5,NA,TRUE,""
22,20282816,"AR(1)","hblock",1.02145180782564,1.29403866051409,-0.272586852688445,0.074303592258592,0.272586852688445,0.0100910663604736,154,66,154,5,5,TRUE,""
22,20282816,"AR(1)","rolling_origin",1.1986443894922,1.29403866051409,-0.0953942710218889,0.00910006694379759,0.0953942710218889,0.00965094566345215,154,66,77,5,NA,TRUE,""
23,20283816,"AR(1)","kfold",0.742760738191839,1.50340517250281,-0.760644434310967,0.578579955448251,0.760644434310967,0.0111091136932373,154,66,154,5,NA,TRUE,""
23,20283816,"AR(1)","blocked",0.745477684375898,1.50340517250281,-0.757927488126908,0.574454077258364,0.757927488126908,0.00916194915771484,154,66,154,5,NA,TRUE,""
23,20283816,"AR(1)","hblock",0.747674208416148,1.50340517250281,-0.755730964086658,0.57112929007935,0.755730964086658,0.0122029781341553,154,66,154,5,5,TRUE,""
